Fish_ID,Event_ID,Taxon_ID,Number,Min,Max,AvgLgth,Area,Comments
20130626141952-694607496.261597,20130626141952-592458248.138428,20160411125756-407380640.506744,1,17,17,17,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-702406346.797943,20130626141952-301948010.921478,20160411125756-407380640.506744,2,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-729455649.852753,20130626141952-579518616.199493,20160411125756-407380640.506744,3,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-774027764.797211,20130626141952-824602127.075195,20160411125756-407380640.506744,4,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-785212218.761444,20130626141952-301948010.921478,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-790293097.496033,20130626141952-364018678.665161,20160411125756-407380640.506744,4,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-791464030.742645,20130626141952-622696697.711945,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-827671468.257904,20130626141952-263792932.033539,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-860589265.823364,20130626141952-767111659.049988,20160411125756-407380640.506744,1,17,17,17,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626141952-984142661.094666,20130626141952-961953163.146973,20160411125756-407380640.506744,5,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-126250088.214874,20130311112248-292866826.057434,20160411125756-407380640.506744,7,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-148917675.018311,20130311112259-714816331.863403,20160411125756-407380640.506744,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-310698866.844177,20130311125049-692547857.761383,20160411125756-407380640.506744,2,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-337759554.386139,20130311123833-450942277.908325,20160411125756-407380640.506744,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-371001660.823822,20130311111841-979829370.975494,20160411125756-407380640.506744,2,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-408182680.606842,20130311123752-702970147.132874,20160411125756-407380640.506744,3,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-436685740.947723,20130311115450-922954559.326172,20160411125756-407380640.506744,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-451576352.119446,20130311112248-292866826.057434,20160411125756-407380640.506744,2,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-452454328.536987,20130311111841-979829370.975494,20160411125756-407380640.506744,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-457190871.238709,20130311114517-834817171.096802,20160411125756-407380640.506744,2,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-55015325.5462646,20130311112313-645951330.661774,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-568145513.534546,20130311123619-561009287.834167,20160411125756-407380640.506744,1,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-591104447.841644,20130311111841-979829370.975494,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-599723577.49939,20130311112325-155435681.343079,20160411125756-407380640.506744,2,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-61357378.9596558,20130311123833-450942277.908325,20160411125756-407380640.506744,2,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-62979221.3439941,20130311114328-829801619.052887,20160411125756-407380640.506744,2,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-636580348.014832,20130311123451-150311291.217804,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-637957692.146301,20130311115358-530212521.55304,20160411125756-407380640.506744,1,17,17,17,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-656384289.264679,20130311114345-278279960.155487,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-661891520.023346,20130311111823-705547511.577606,20160411125756-407380640.506744,5,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-705619156.360626,20130311114307-289562463.760376,20160411125756-407380640.506744,10,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-741565167.9039,20130311123833-450942277.908325,20160411125756-407380640.506744,2,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-759548068.04657,20130311114307-289562463.760376,20160411125756-407380640.506744,5,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-773604214.191437,20130311123619-561009287.834167,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-77468156.8145752,20130311111915-480474710.464478,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-821560502.052307,20130311111915-480474710.464478,20160411125756-407380640.506744,5,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-83091378.2119751,20130311123703-347832679.748535,20160411125756-407380640.506744,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-845164716.243744,20130311123619-561009287.834167,20160411125756-407380640.506744,2,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-852378666.400909,20130311115409-254601895.809174,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-853130757.808685,20130311123824-692517757.415771,20160411125756-407380640.506744,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-889248013.496399,20130311115409-254601895.809174,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-912976324.558258,20130311112313-645951330.661774,20160411125756-407380640.506744,3,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-984191060.066223,20130311123619-561009287.834167,20160411125756-407380640.506744,1,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142241-988972902.297974,20130311123824-692517757.415771,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-225668132.305145,20130308135515-979829370.975494,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-243652641.773224,20130308134658-705547511.577606,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-29211282.7301025,20130308142244-257504105.567932,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-385740041.732788,20130308141152-28246939.1822815,20160411125756-407380640.506744,1,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-420772910.118103,20130308143611-729455649.852753,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-46116888.5231018,20130308142648-268171787.261963,20160411125756-407380640.506744,1,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-543335556.983948,20130308142141-412355005.741119,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-62380194.6640015,20130308142648-268171787.261963,20160411125756-407380640.506744,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-630737543.106079,20130308140840-28885781.7649841,20160411125756-407380640.506744,1,4,4,4,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-632826566.696167,20130308141410-456470370.292664,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-68124592.3042297,20130308141410-456470370.292664,20160411125756-407380640.506744,1,19,19,19,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-690093338.489532,20130308135958-156302213.668823,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-939954698.085785,20130308142648-268171787.261963,20160411125756-407380640.506744,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-958644986.152649,20130308140850-302497565.746307,20160411125756-407380640.506744,1,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142247-974243521.690369,20130308142532-156549394.130707,20160411125756-407380640.506744,1,4,4,4,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-121662020.683289,20130308141043-619831502.437592,20160411125756-407380640.506744,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-28165638.4468079,20130308140840-28885781.7649841,20160411125756-407380640.506744,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-284368336.200714,20130308142129-243310689.926147,20160411125756-407380640.506744,2,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-322505116.462708,20130308143611-729455649.852753,20160411125756-407380640.506744,3,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-326781332.492828,20130308141152-28246939.1822815,20160411125756-407380640.506744,4,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-345341205.596924,20130308142508-369906961.917877,20160411125756-407380640.506744,4,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-351794958.114624,20130308141001-643046796.321869,20160411125756-407380640.506744,2,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-383156239.98642,20130308142256-380592286.586761,20160411125756-407380640.506744,10,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-386987209.320068,20130308143533-380801141.262054,20160411125756-407380640.506744,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-422096133.232117,20130308141152-28246939.1822815,20160411125756-407380640.506744,3,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-453885495.662689,20130308141043-619831502.437592,20160411125756-407380640.506744,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-460680246.353149,20130308142256-380592286.586761,20160411125756-407380640.506744,4,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-470005273.81897,20130308140920-347832679.748535,20160411125756-407380640.506744,4,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-483057260.513306,20130308141043-619831502.437592,20160411125756-407380640.506744,1,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-502339959.144592,20130308140920-347832679.748535,20160411125756-407380640.506744,2,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-528327882.289886,20130308141423-591442286.968231,20160411125756-407380640.506744,2,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-53058087.8257751,20130308140850-302497565.746307,20160411125756-407380640.506744,8,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-549460232.257843,20130308141001-643046796.321869,20160411125756-407380640.506744,24,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-560659170.150757,20130308141001-643046796.321869,20160411125756-407380640.506744,10,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-641834318.637848,20130308141014-840887069.702148,20160411125756-407380640.506744,2,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-669569373.130798,20130308135251-647821187.973022,20160411125756-407380640.506744,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-732439815.998077,20130308141001-643046796.321869,20160411125756-407380640.506744,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-750326633.453369,20130308141001-643046796.321869,20160411125756-407380640.506744,5,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-778178453.445435,20130308142244-257504105.567932,20160411125756-407380640.506744,4,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-804846167.564392,20130308140832-235282242.298126,20160411125756-407380640.506744,5,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-922133088.111877,20130308140859-533022344.112396,20160411125756-407380640.506744,4,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-936442673.206329,20130308140920-347832679.748535,20160411125756-407380640.506744,2,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-960196316.242218,20130308141014-840887069.702148,20160411125756-407380640.506744,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-969546616.077423,20130308141410-456470370.292664,20160411125756-407380640.506744,2,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130626142248-990378439.426422,20130308142508-369906961.917877,20160411125756-407380640.506744,2,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-169529914.855957,20130716120256-200309872.627258,20160411125756-407380640.506744,2,20,21,20,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-202178478.240967,20120201142257-22629201.4122009,20160411125756-407380640.506744,2,18,19,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-238035619.258881,20120201144831-800669848.918915,20160411125756-407380640.506744,8,16,18,17,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-241264522.075653,20120201144712-459640800.952911,20160411125756-407380640.506744,2,15,15,15,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-277108550.071716,20120201144721-461874365.80658,20160411125756-407380640.506744,2,17,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-285876154.899597,20120118152820-183076024.055481,20160411125756-407380640.506744,1,22,22,22,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-325339972.97287,20120118153954-580878436.565399,20160411125756-407380640.506744,6,22,25,24,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-330659210.681915,20120118161952-627298653.125763,20160411125756-407380640.506744,4,12,14,13,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-339656829.833984,20120201144755-398932278.156281,20160411125756-407380640.506744,2,25,25,25,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-346880555.152893,20120201144739-672427594.661713,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-35632312.297821,20120201142245-160441517.829895,20160411125756-407380640.506744,2,16,17,16,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-37930250.1678467,20120118161952-627298653.125763,20160411125756-407380640.506744,2,23,23,23,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-429400861.263275,20120118160803-356066644.191742,20160411125756-407380640.506744,8,20,25,22,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-437991738.319397,20120201144822-542029261.58905,20160411125756-407380640.506744,8,20,25,22,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-447865128.517151,20120118152302-811571359.634399,20160411125756-407380640.506744,4,20,22,21,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-448402881.622314,20130716120256-586100161.075592,20160411125756-407380640.506744,1,23,23,23,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-465780794.620514,20130716120256-856976032.25708,20160411125756-407380640.506744,1,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-480472326.278687,20120201144747-478014171.123505,20160411125756-407380640.506744,10,18,20,19,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-494809329.509735,20120118152302-811571359.634399,20160411125756-407380640.506744,3,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-512142956.256866,20130716120256-200309872.627258,20160411125756-407380640.506744,5,17,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-53995490.0741577,20120118160034-807689309.120178,20160411125756-407380640.506744,4,22,25,24,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-549520432.949066,20130716120256-586100161.075592,20160411125756-407380640.506744,2,16,18,17,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-599610567.092896,20120118152428-397243559.360504,20160411125756-407380640.506744,1,25,25,25,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-610333502.292633,20130716120256-88232696.056366,20160411125756-407380640.506744,1,22,22,22,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-622545897.960663,20130716120256-586100161.075592,20160411125756-407380640.506744,2,25,25,25,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-641609430.31311,20120118160803-356066644.191742,20160411125756-407380640.506744,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-67063212.3947144,20120201144739-672427594.661713,20160411125756-407380640.506744,1,17,17,17,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-671589016.914368,20130716120256-586100161.075592,20160411125756-407380640.506744,9,1,23,12,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-681855142.116547,20120201142229-289562463.760376,20160411125756-407380640.506744,10,22,25,24,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-728016197.681427,20120201144739-672427594.661713,20160411125756-407380640.506744,1,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-751686513.42392,20130716120256-88232696.056366,20160411125756-407380640.506744,5,17,18,18,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-774305045.604706,20120201144859-77980577.9457092,20160411125756-407380640.506744,1,19,10,14,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-77468156.8145752,20120201142245-160441517.829895,20160411125756-407380640.506744,6,22,25,24,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-798922359.94339,20120201144859-77980577.9457092,20160411125756-407380640.506744,7,21,22,22,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-80642759.7999573,20120201144908-209698975.086212,20160411125756-407380640.506744,5,20,25,22,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-835290491.580963,20120201144844-770832777.023315,20160411125756-407380640.506744,4,21,23,22,100,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
20130716120256-841600298.881531,20130716120256-856976032.25708,20160411125756-407380640.506744,1,19,19,19,50,"Original detected species name was Ctenochaetus strigosus, but this species does not exist at NPSA.  This species should be C. striatus, which is found only at NSPA and WAPA."
