Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of spoiled ballots,Number of unused ballots
1439.0,1217.0,1204,596.0,115.0,493.0,11.0,21,1013,54,7.0,83.0,15.0,0.0,263.0
1780.0,1463.0,1450,745.0,179.0,526.0,17.0,7,981,350,15.0,80.0,15.0,1.0,377.0
1627.0,1364.0,1352,695.0,76.0,581.0,9.0,25,1121,71,12.0,106.0,8.0,0.0,316.0
2008.0,1684.0,1677,865.0,105.0,707.0,12.0,24,1400,48,15.0,164.0,14.0,1.0,385.0
1535.0,1267.0,1258,651.0,62.0,545.0,11.0,21,1045,61,15.0,94.0,11.0,0.0,313.0
1733.0,1505.0,1505,731.0,14.0,760.0,8.0,11,1258,98,12.0,105.0,13.0,0.0,285.0
1736.0,1482.0,1479,885.0,23.0,571.0,18.0,7,1290,115,11.0,32.0,6.0,1.0,327.0
1632.0,1532.0,1530,562.0,273.0,695.0,35.0,17,830,560,23.0,52.0,13.0,1.0,182.0
2658.0,2542.0,2542,1511.0,69.0,962.0,9.0,2,2274,46,14.0,185.0,12.0,1.0,194.0
1524.0,1491.0,1488,941.0,31.0,516.0,3.0,4,1391,57,5.0,25.0,3.0,0.0,89.0
1987.0,1699.0,1699,485.0,321.0,893.0,23.0,21,1405,150,19.0,30.0,11.0,1.0,410.0
2729.0,2168.0,2168,681.0,16.0,1471.0,3.0,4,1407,724,5.0,22.0,0.0,3.0,641.0
2413.0,1841.0,1836,579.0,19.0,1238.0,24.0,17,1236,424,53.0,68.0,14.0,1.0,668.0
1586.0,1475.0,1475,447.0,91.0,937.0,21.0,6,1091,336,7.0,11.0,3.0,0.0,185.0
776.0,754.0,754,522.0,59.0,173.0,5.0,3,720,8,4.0,10.0,4.0,0.0,160.0
1272.0,1105.0,1105,550.0,197.0,558.0,14.0,16,721,226,17.0,81.0,30.0,0.0,35.0
1351.0,1163.0,1163,303.0,167.0,693.0,15.0,10,646,424,15.0,40.0,13.0,0.0,192.0
2131.0,1599.0,1599,703.0,17.0,879.0,31.0,73,727,535,56.0,153.0,24.0,1.0,621.0
1311.0,787.0,780,459.0,7.0,314.0,15.0,54,418,182,42.0,60.0,9.0,0.0,588.0
1888.0,1735.0,1735,660.0,17.0,1058.0,25.0,77,820,644,47.0,112.0,10.0,10.0,240.0
1963.0,1197.0,1187,661.0,32.0,494.0,38.0,77,726,167,66.0,98.0,15.0,8.0,800.0
1631.0,1010.0,1010,197.0,19.0,794.0,18.0,13,276,615,21.0,65.0,2.0,1.0,649.0
1951.0,1210.0,1209,628.0,30.0,551.0,24.0,85,765,170,63.0,87.0,15.0,1.0,784.0
1787.0,1072.0,1057,372.0,16.0,669.0,20.0,84,639,162,56.0,83.0,13.0,0.0,808.0
1440.0,1138.0,1138,445.0,21.0,672.0,12.0,7,572,500,7.0,31.0,9.0,1.0,349.0
1641.0,1034.0,1030,541.0,17.0,472.0,23.0,67,640,162,50.0,76.0,12.0,2.0,684.0
1948.0,1498.0,1487,519.0,12.0,956.0,18.0,14,889,402,43.0,104.0,17.0,2.0,450.0
1684.0,1078.0,1078,564.0,26.0,488.0,25.0,84,636,168,53.0,90.0,22.0,5.0,642.0
1705.0,1040.0,1032,571.0,23.0,438.0,21.0,73,625,162,56.0,57.0,9.0,4.0,799.0
2255.0,1353.0,1343,743.0,21.0,579.0,30.0,91,822,211,79.0,94.0,16.0,1.0,976.0
2072.0,1243.0,1238,713.0,14.0,511.0,26.0,88,735,222,61.0,91.0,15.0,0.0,907.0
2100.0,1260.0,1248,735.0,22.0,491.0,24.0,86,764,195,62.0,102.0,15.0,2.0,938.0
1548.0,944.0,936,513.0,5.0,418.0,21.0,65,582,141,48.0,71.0,8.0,0.0,681.0
1597.0,943.0,935,559.0,24.0,352.0,23.0,59,583,130,46.0,58.0,10.0,4.0,479.0
1268.0,812.0,806,408.0,5.0,393.0,16.0,56,501,123,42.0,89.0,5.0,0.0,739.0
2083.0,1312.0,1301,695.0,11.0,595.0,17.0,52,796,183,26.0,206.0,15.0,2.0,851.0
1903.0,1161.0,1151,630.0,14.0,507.0,23.0,79,708,100,59.0,167.0,15.0,2.0,822.0
1414.0,848.0,841,466.0,7.0,368.0,18.0,62,534,125,45.0,60.0,11.0,1.0,550.0
1927.0,1253.0,1248,605.0,42.0,601.0,28.0,91,767,188,63.0,92.0,19.0,0.0,677.0
1331.0,812.0,802,233.0,22.0,547.0,25.0,63,397,149,52.0,106.0,10.0,1.0,547.0
1750.0,1103.0,1097,531.0,25.0,541.0,20.0,86,662,155,60.0,92.0,22.0,1.0,671.0
1670.0,1086.0,1086,536.0,27.0,523.0,24.0,79,654,169,58.0,89.0,13.0,1.0,678.0
1786.0,1125.0,1125,571.0,26.0,528.0,22.0,75,675,168,63.0,108.0,13.0,1.0,745.0
1207.0,748.0,742,403.0,14.0,325.0,15.0,52,461,112,41.0,52.0,9.0,2.0,515.0
1540.0,955.0,945,496.0,33.0,416.0,20.0,65,572,148,52.0,70.0,18.0,3.0,617.0
1301.0,833.0,827,429.0,19.0,379.0,17.0,55,506,127,45.0,65.0,11.0,1.0,532.0
1771.0,1151.0,1151,209.0,10.0,932.0,25.0,16,544,465,25.0,73.0,8.0,3.0,667.0
1627.0,1025.0,1015,168.0,15.0,832.0,19.0,19,489,390,11.0,63.0,32.0,2.0,678.0
1072.0,697.0,691,368.0,7.0,316.0,15.0,51,418,108,34.0,51.0,14.0,2.0,401.0
1867.0,1139.0,1130,736.0,13.0,381.0,24.0,69,727,165,62.0,64.0,19.0,3.0,768.0
2188.0,1335.0,1328,746.0,16.0,566.0,25.0,99,831,201,63.0,90.0,19.0,4.0,901.0
1083.0,671.0,668,155.0,6.0,507.0,23.0,38,364,127,40.0,67.0,9.0,2.0,462.0
1704.0,1420.0,1418,596.0,9.0,813.0,30.0,15,556,703,15.0,83.0,6.0,2.0,365.0
1108.0,687.0,682,368.0,12.0,302.0,16.0,49,407,105,34.0,63.0,8.0,1.0,477.0
1731.0,1108.0,1099,561.0,29.0,509.0,25.0,67,672,167,54.0,101.0,13.0,1.0,671.0
1020.0,622.0,620,332.0,58.0,230.0,12.0,47,381,88,34.0,51.0,7.0,2.0,446.0
1848.0,1127.0,1116,583.0,22.0,511.0,32.0,73,671,163,61.0,94.0,22.0,10.0,753.0
1528.0,977.0,972,480.0,24.0,468.0,21.0,59,600,142,47.0,92.0,11.0,5.0,583.0
1178.0,730.0,725,389.0,20.0,316.0,14.0,51,433,112,40.0,72.0,3.0,5.0,470.0
1656.0,994.0,986,503.0,53.0,430.0,32.0,70,584,144,43.0,93.0,20.0,1.0,700.0
2036.0,1283.0,1276,698.0,21.0,557.0,46.0,75,792,188,61.0,102.0,12.0,7.0,705.0
2150.0,1363.0,1363,731.0,9.0,623.0,36.0,40,931,219,35.0,91.0,11.0,2.0,836.0
2103.0,1308.0,1306,757.0,7.0,542.0,51.0,52,820,218,39.0,101.0,25.0,1.0,841.0
2250.0,1336.0,1326,823.0,21.0,482.0,41.0,39,825,205,55.0,126.0,35.0,3.0,1021.0
2020.0,1324.0,1324,721.0,14.0,589.0,38.0,41,824,192,53.0,109.0,67.0,2.0,774.0
1904.0,1287.0,1287,703.0,50.0,534.0,20.0,93,815,196,20.0,113.0,30.0,2.0,711.0
1803.0,1206.0,1206,615.0,13.0,577.0,23.0,86,784,174,14.0,89.0,33.0,3.0,684.0
2202.0,1610.0,1610,676.0,11.0,923.0,49.0,56,943,329,39.0,156.0,38.0,2.0,688.0
1592.0,1126.0,1126,523.0,10.0,593.0,17.0,48,747,209,17.0,56.0,32.0,1.0,608.0
2423.0,1578.0,1578,769.0,6.0,803.0,22.0,49,1025,210,19.0,201.0,52.0,3.0,919.0
2085.0,1339.0,1339,695.0,4.0,640.0,20.0,42,915,205,14.0,69.0,74.0,1.0,850.0
2362.0,1576.0,1575,745.0,2.0,828.0,24.0,35,1064,206,15.0,209.0,22.0,6.0,938.0
2774.0,1736.0,1736,905.0,4.0,827.0,16.0,18,1281,204,16.0,170.0,31.0,4.0,1230.0
2663.0,1512.0,1507,818.0,3.0,686.0,18.0,19,1102,189,19.0,143.0,17.0,6.0,1332.0
2130.0,1292.0,1291,636.0,2.0,653.0,12.0,26,913,139,26.0,154.0,21.0,1.0,947.0
2706.0,1854.0,1853,876.0,5.0,972.0,50.0,35,1247,286,29.0,174.0,32.0,3.0,1143.0
2030.0,1972.0,1969,682.0,12.0,1275.0,35.0,39,1001,615,16.0,253.0,10.0,3.0,75.0
1803.0,1420.0,1418,547.0,16.0,855.0,15.0,22,761,469,11.0,81.0,59.0,2.0,478.0
2418.0,2369.0,2358,845.0,13.0,1500.0,50.0,83,1079,883,31.0,130.0,98.0,6.0,53.0
2100.0,1376.0,1376,554.0,17.0,805.0,26.0,13,1006,206,16.0,94.0,15.0,3.0,831.0
2322.0,1614.0,1614,704.0,12.0,898.0,25.0,11,1056,222,39.0,192.0,69.0,2.0,814.0
1450.0,1075.0,1075,433.0,9.0,633.0,30.0,36,484,416,26.0,50.0,33.0,1.0,374.0
1731.0,1332.0,1321,526.0,12.0,783.0,15.0,12,617,550,6.0,80.0,41.0,1.0,487.0
2300.0,1576.0,1576,702.0,18.0,856.0,23.0,42,1096,214,15.0,137.0,49.0,2.0,837.0
2231.0,1323.0,1323,697.0,6.0,620.0,20.0,29,909,186,20.0,129.0,30.0,0.0,1022.0
1417.0,853.0,853,478.0,2.0,373.0,11.0,39,472,176,21.0,100.0,34.0,1.0,626.0
2004.0,1316.0,1316,676.0,10.0,630.0,20.0,39,819,187,14.0,166.0,71.0,0.0,789.0
2091.0,1236.0,1236,636.0,77.0,523.0,18.0,35,845,186,14.0,95.0,43.0,0.0,964.0
1705.0,1103.0,1103,619.0,12.0,472.0,14.0,30,766,209,13.0,65.0,6.0,4.0,683.0
1403.0,916.0,916,490.0,3.0,423.0,13.0,28,563,193,9.0,58.0,52.0,2.0,552.0
1802.0,1115.0,1115,615.0,6.0,494.0,16.0,36,761,174,19.0,76.0,33.0,1.0,774.0
1682.0,1105.0,1105,600.0,18.0,487.0,16.0,44,718,189,13.0,95.0,30.0,1.0,659.0
2200.0,1206.0,1206,746.0,14.0,446.0,23.0,28,776,273,6.0,57.0,41.0,2.0,1104.0
2317.0,1406.0,1406,748.0,15.0,643.0,15.0,32,993,202,18.0,119.0,27.0,3.0,1021.0
1253.0,759.0,759,415.0,27.0,317.0,10.0,25,527,152,9.0,15.0,21.0,5.0,33.0
1138.0,645.0,645,304.0,2.0,339.0,9.0,17,348,224,8.0,28.0,11.0,1.0,554.0
385.0,360.0,360,49.0,0.0,311.0,0.0,4,101,248,1.0,6.0,0.0,0.0,27.0
463.0,422.0,422,50.0,0.0,372.0,4.0,0,127,279,2.0,8.0,2.0,2.0,6.0
1268.0,1133.0,1133,197.0,14.0,922.0,8.0,11,57,1036,4.0,14.0,3.0,1.0,171.0
946.0,857.0,857,135.0,0.0,722.0,6.0,6,45,786,4.0,10.0,0.0,2.0,26.0
583.0,341.0,341,60.0,65.0,216.0,4.0,4,53,272,3.0,4.0,1.0,0.0,1.0
114.0,83.0,81,8.0,0.0,73.0,0.0,0,34,42,1.0,4.0,0.0,0.0,17.0
379.0,352.0,352,33.0,0.0,319.0,3.0,1,21,321,0.0,6.0,0.0,3.0,0.0
431.0,415.0,415,77.0,0.0,338.0,3.0,2,18,385,0.0,4.0,3.0,1.0,4.0
757.0,452.0,452,208.0,0.0,244.0,1.0,1,69,368,1.0,1.0,11.0,0.0,342.0
932.0,766.0,766,349.0,0.0,417.0,4.0,3,392,351,4.0,9.0,3.0,3.0,93.0
539.0,444.0,443,64.0,0.0,379.0,2.0,1,13,419,1.0,5.0,2.0,9.0,48.0
1040.0,1028.0,1028,173.0,0.0,855.0,5.0,2,28,959,1.0,10.0,23.0,5.0,7.0
522.0,403.0,403,126.0,0.0,277.0,1.0,3,169,213,1.0,16.0,0.0,0.0,57.0
677.0,485.0,485,198.0,0.0,287.0,2.0,1,22,447,3.0,9.0,1.0,0.0,15.0
286.0,284.0,284,45.0,0.0,239.0,3.0,4,32,240,0.0,3.0,2.0,1.0,1.0
313.0,288.0,288,24.0,0.0,264.0,3.0,0,59,218,3.0,3.0,2.0,4.0,39.0
699.0,652.0,652,183.0,0.0,469.0,10.0,7,271,345,4.0,11.0,4.0,0.0,15.0
1248.0,865.0,865,302.0,14.0,549.0,11.0,18,562,65,9.0,183.0,17.0,0.0,635.0
1868.0,1259.0,1258,563.0,9.0,686.0,12.0,27,817,183,7.0,188.0,24.0,1.0,740.0
2509.0,1613.0,1613,923.0,7.0,683.0,8.0,56,984,198,17.0,345.0,5.0,11.0,976.0
1160.0,1035.0,1035,270.0,2.0,763.0,15.0,8,389,545,16.0,58.0,3.0,0.0,265.0
2373.0,1643.0,1642,711.0,1.0,930.0,12.0,31,1026,466,12.0,80.0,6.0,1.0,857.0
1924.0,1274.0,1271,655.0,10.0,606.0,16.0,29,844,194,27.0,150.0,11.0,1.0,725.0
2132.0,1393.0,1386,725.0,24.0,637.0,19.0,27,922,206,10.0,180.0,22.0,0.0,807.0
1561.0,1049.0,1049,516.0,11.0,522.0,16.0,16,684,234,18.0,78.0,3.0,3.0,548.0
969.0,938.0,938,280.0,0.0,658.0,7.0,3,329,541,9.0,48.0,1.0,1.0,51.0
861.0,608.0,608,343.0,0.0,265.0,6.0,15,407,159,16.0,3.0,2.0,0.0,392.0
1727.0,1339.0,1339,291.0,0.0,1048.0,23.0,9,305,880,32.0,83.0,7.0,5.0,356.0
2656.0,1631.0,1628,810.0,4.0,814.0,18.0,39,1065,424,16.0,64.0,2.0,6.0,1063.0
1832.0,1225.0,1225,586.0,7.0,632.0,16.0,35,801,87,11.0,153.0,122.0,12.0,663.0
2732.0,2482.0,2482,761.0,12.0,1705.0,48.0,20,1568,751,22.0,51.0,22.0,4.0,269.0
2999.0,2999.0,2998,927.0,5.0,2066.0,132.0,81,2006,639,48.0,74.0,18.0,2.0,118.0
1972.0,1338.0,1338,631.0,10.0,697.0,18.0,6,899,366,17.0,10.0,22.0,2.0,660.0
1779.0,1499.0,1499,587.0,8.0,904.0,15.0,27,785,542,12.0,48.0,70.0,10.0,591.0
2695.0,1815.0,1815,808.0,3.0,1004.0,21.0,14,899,572,21.0,239.0,49.0,6.0,879.0
2341.0,1540.0,1540,722.0,7.0,811.0,25.0,37,1093,258,15.0,105.0,7.0,1.0,909.0
2143.0,1419.0,1414,327.0,11.0,1076.0,21.0,35,642,510,17.0,116.0,97.0,5.0,911.0
2604.0,2025.0,1895,621.0,9.0,1265.0,37.0,24,713,974,14.0,113.0,20.0,3.0,672.0
2703.0,1791.0,1791,364.0,15.0,1412.0,67.0,88,890,460,51.0,131.0,104.0,0.0,1009.0
2612.0,1729.0,1724,899.0,15.0,810.0,26.0,43,1148,253,21.0,127.0,106.0,0.0,1021.0
2646.0,2500.0,2495,910.0,13.0,1572.0,59.0,85,1501,375,61.0,283.0,130.0,1.0,300.0
1589.0,1417.0,1417,547.0,8.0,862.0,34.0,52,950,188,31.0,99.0,63.0,3.0,280.0
1918.0,1375.0,1373,660.0,16.0,697.0,28.0,16,928,307,13.0,73.0,8.0,2.0,623.0
1906.0,1261.0,1258,656.0,20.0,582.0,19.0,31,838,185,15.0,92.0,78.0,0.0,739.0
2096.0,1700.0,1700,721.0,7.0,972.0,21.0,35,1099,259,17.0,220.0,49.0,0.0,500.0
1265.0,839.0,835,435.0,7.0,393.0,13.0,21,556,122,10.0,61.0,52.0,0.0,511.0
2523.0,2106.0,2104,868.0,9.0,1227.0,40.0,26,1109,736,23.0,158.0,12.0,0.0,544.0
2122.0,1409.0,1401,730.0,6.0,665.0,21.0,35,933,205,17.0,103.0,87.0,5.0,838.0
2925.0,1935.0,1931,292.0,0.0,1643.0,29.0,48,1286,284,23.0,141.0,120.0,0.0,4.0
1889.0,1252.0,1247,650.0,16.0,581.0,19.0,31,830,193,15.0,91.0,68.0,0.0,748.0
2370.0,1569.0,1564,815.0,7.0,742.0,23.0,39,1042,230,19.0,114.0,97.0,0.0,931.0
1935.0,1280.0,1277,646.0,14.0,617.0,19.0,32,851,188,15.0,93.0,79.0,0.0,770.0
2014.0,1339.0,1331,693.0,12.0,626.0,20.0,33,887,93,16.0,206.0,82.0,0.0,811.0
2210.0,1770.0,1769,760.0,8.0,1001.0,22.0,36,1121,311,18.0,117.0,100.0,0.0,226.0
2531.0,1675.0,1670,871.0,15.0,784.0,25.0,42,1113,117,20.0,251.0,102.0,0.0,1025.0
2076.0,1574.0,1570,714.0,7.0,849.0,21.0,34,1046,236,16.0,133.0,84.0,0.0,626.0
2178.0,1446.0,1440,749.0,6.0,685.0,22.0,35,959,211,17.0,106.0,89.0,1.0,853.0
2136.0,1415.0,1410,735.0,3.0,672.0,21.0,35,844,206,17.0,204.0,88.0,0.0,835.0
2346.0,1551.0,1548,807.0,7.0,734.0,23.0,39,1031,227,19.0,113.0,96.0,10.0,939.0
2964.0,2627.0,2623,1020.0,12.0,1591.0,27.0,49,1368,941,23.0,143.0,70.0,4.0,419.0
2660.0,2058.0,2061,915.0,5.0,1141.0,77.0,128,394,1226,59.0,170.0,7.0,3.0,739.0
1549.0,1027.0,1022,533.0,4.0,485.0,15.0,19,681,184,9.0,51.0,63.0,0.0,623.0
2075.0,1287.0,1287,316.0,31.0,940.0,13.0,26,777,193,13.0,205.0,60.0,2.0,711.0
1679.0,1427.0,1427,515.0,19.0,893.0,29.0,33,856,214,14.0,257.0,24.0,3.0,370.0
1512.0,1182.0,1182,223.0,22.0,937.0,12.0,13,599,480,9.0,54.0,15.0,1.0,417.0
2292.0,2062.0,2062,775.0,7.0,1287.0,32.0,33,998,782,21.0,163.0,33.0,1.0,38.0
1001.0,672.0,669,405.0,14.0,250.0,18.0,27,428,50,16.0,96.0,34.0,2.0,380.0
1547.0,1611.0,1609,581.0,10.0,1018.0,28.0,37,704,663,27.0,146.0,4.0,2.0,13.0
1383.0,931.0,927,521.0,29.0,377.0,26.0,41,584,206,23.0,6.0,41.0,4.0,519.0
2876.0,2845.0,2839,583.0,26.0,2230.0,49.0,26,705,1869,31.0,155.0,4.0,2.0,175.0
899.0,606.0,603,341.0,21.0,241.0,18.0,25,376,45,17.0,86.0,36.0,4.0,334.0
1573.0,1249.0,1247,198.0,38.0,1011.0,20.0,49,551,536,28.0,31.0,32.0,3.0,402.0
2310.0,2305.0,2304,712.0,6.0,1586.0,39.0,50,656,1407,39.0,96.0,17.0,1.0,120.0
2339.0,1552.0,1548,882.0,29.0,637.0,41.0,65,977,315,39.0,23.0,88.0,3.0,903.0
1155.0,1145.0,1142,471.0,24.0,629.0,28.0,48,731,281,54.0,7.0,16.0,1.0,697.0
2012.0,1358.0,1358,487.0,24.0,847.0,35.0,49,778,426,37.0,31.0,2.0,2.0,755.0
1969.0,1336.0,1334,503.0,46.0,785.0,37.0,63,847,323,31.0,9.0,24.0,3.0,730.0
1965.0,1295.0,1292,743.0,49.0,500.0,35.0,52,823,93,33.0,181.0,75.0,3.0,767.0
2010.0,1336.0,1333,764.0,48.0,521.0,35.0,57,849,268,33.0,19.0,72.0,2.0,775.0
1663.0,1107.0,1104,630.0,46.0,428.0,27.0,45,702,231,29.0,7.0,63.0,6.0,638.0
2157.0,1938.0,1936,811.0,62.0,1063.0,39.0,61,816,705,37.0,251.0,27.0,2.0,826.0
2493.0,1649.0,1647,303.0,24.0,1320.0,44.0,74,769,619,39.0,4.0,98.0,1.0,971.0
1732.0,1166.0,1162,656.0,0.0,506.0,25.0,47,745,244,34.0,4.0,63.0,2.0,653.0
2671.0,1978.0,1975,1011.0,7.0,957.0,29.0,27,683,1051,36.0,142.0,7.0,3.0,826.0
1878.0,1249.0,1247,758.0,54.0,435.0,33.0,54,292,597,57.0,171.0,63.0,1.0,722.0
2019.0,1360.0,1358,697.0,8.0,653.0,38.0,38,914,85,16.0,235.0,12.0,5.0,805.0
2039.0,1384.0,1380,715.0,12.0,653.0,42.0,16,937,96,61.0,204.0,24.0,5.0,751.0
2211.0,1468.0,1465,884.0,12.0,569.0,39.0,71,961,115,35.0,202.0,42.0,2.0,854.0
2541.0,1826.0,1824,1012.0,5.0,809.0,46.0,79,1159,41,39.0,246.0,214.0,3.0,841.0
2879.0,1936.0,1933,1089.0,2.0,842.0,51.0,93,1241,401,44.0,3.0,100.0,4.0,1085.0
1991.0,1719.0,1716,520.0,26.0,1196.0,19.0,20,886,683,18.0,64.0,26.0,3.0,132.0
2319.0,1562.0,1559,822.0,61.0,676.0,36.0,70,1018,117,38.0,233.0,47.0,4.0,871.0
2105.0,1426.0,1422,801.0,62.0,559.0,39.0,58,938,101,37.0,206.0,43.0,1.0,785.0
1906.0,1478.0,1476,765.0,16.0,695.0,21.0,40,770,568,32.0,4.0,4.0,3.0,522.0
2066.0,1491.0,1388,793.0,57.0,538.0,41.0,59,535,475,36.0,201.0,41.0,3.0,677.0
2401.0,1609.0,1607,975.0,48.0,584.0,45.0,71,1014,337,43.0,14.0,83.0,2.0,912.0
2414.0,1616.0,1612,1001.0,53.0,558.0,47.0,67,1013,341,39.0,8.0,97.0,3.0,918.0
2622.0,1772.0,1769,1057.0,11.0,701.0,51.0,75,1102,139,44.0,253.0,105.0,4.0,979.0
2552.0,1996.0,1994,639.0,3.0,1352.0,56.0,75,686,1023,43.0,101.0,10.0,5.0,682.0
2409.0,2006.0,2003,975.0,8.0,1020.0,47.0,71,794,725,39.0,225.0,102.0,4.0,521.0
3021.0,2027.0,2025,1179.0,72.0,774.0,59.0,63,1276,433,51.0,17.0,126.0,1.0,1146.0
3025.0,2326.0,2324,1195.0,11.0,1118.0,57.0,68,998,731,49.0,298.0,113.0,13.0,851.0
1884.0,1327.0,1268,625.0,29.0,614.0,17.0,27,821,90,13.0,197.0,103.0,14.0,634.0
1545.0,1082.0,1064,534.0,25.0,505.0,15.0,20,698,149,11.0,79.0,92.0,2.0,536.0
829.0,587.0,564,284.0,32.0,248.0,7.0,26,372,76,7.0,38.0,38.0,12.0,271.0
1364.0,949.0,931,425.0,9.0,497.0,13.0,27,611,141,11.0,75.0,53.0,1.0,480.0
1281.0,898.0,884,425.0,32.0,427.0,13.0,17,586,130,15.0,67.0,56.0,15.0,432.0
1432.0,1023.0,983,474.0,33.0,476.0,11.0,26,653,146,18.0,76.0,53.0,16.0,461.0
1468.0,1016.0,986,516.0,47.0,423.0,14.0,37,642,140,17.0,80.0,56.0,74.0,450.0
1043.0,718.0,704,346.0,38.0,320.0,11.0,21,465,94,12.0,43.0,58.0,3.0,374.0
1364.0,949.0,931,425.0,9.0,497.0,13.0,27,611,141,11.0,75.0,53.0,1.0,480.0
2198.0,1462.0,1434,752.0,43.0,639.0,19.0,32,942,207,15.0,114.0,105.0,6.0,837.0
2052.0,1498.0,1414,706.0,44.0,664.0,18.0,32,895,226,9.0,126.0,108.0,35.0,617.0
1044.0,715.0,701,345.0,25.0,331.0,10.0,21,467,99,7.0,48.0,49.0,16.0,364.0
1887.0,1282.0,1265,643.0,8.0,614.0,21.0,25,815,185,12.0,87.0,120.0,26.0,672.0
1062.0,711.0,698,394.0,2.0,302.0,19.0,24,472,91,5.0,34.0,53.0,5.0,394.0
1762.0,1221.0,1207,612.0,29.0,566.0,21.0,29,779,172,12.0,93.0,101.0,76.0,553.0
1791.0,1236.0,1214,596.0,38.0,580.0,16.0,35,815,179,8.0,102.0,59.0,74.0,570.0
1935.0,1335.0,1319,677.0,41.0,601.0,21.0,35,847,180,13.0,91.0,132.0,5.0,690.0
2122.0,2022.0,2018,719.0,33.0,1266.0,22.0,31,941,231,11.0,380.0,402.0,15.0,188.0
1849.0,1304.0,1243,605.0,27.0,611.0,15.0,28,796,218,5.0,129.0,52.0,11.0,625.0
2020.0,1384.0,1365,688.0,38.0,639.0,19.0,31,899,223,8.0,128.0,57.0,84.0,652.0
2131.0,2109.0,2100,391.0,20.0,1689.0,27.0,32,912,482,6.0,105.0,125.0,72.0,742.0
1764.0,1226.0,1208,583.0,35.0,590.0,15.0,29,796,182,10.0,93.0,83.0,7.0,617.0
1198.0,854.0,832,394.0,46.0,392.0,12.0,28,552,113,17.0,56.0,1.0,73.0,328.0
1721.0,1206.0,1186,583.0,28.0,575.0,10.0,24,767,85,7.0,198.0,95.0,79.0,520.0
1661.0,1132.0,1117,565.0,32.0,520.0,19.0,25,728,159,16.0,87.0,83.0,15.0,593.0
931.0,641.0,622,318.0,22.0,282.0,15.0,28,398,84,17.0,35.0,45.0,7.0,327.0
1364.0,914.0,893,463.0,32.0,398.0,11.0,21,597,125,11.0,70.0,58.0,7.0,509.0
2066.0,1404.0,1368,690.0,9.0,669.0,19.0,20,898,197,19.0,111.0,104.0,13.0,748.0
2295.0,1578.0,1575,780.0,9.0,786.0,35.0,35,815,539,23.0,87.0,41.0,6.0,816.0
1770.0,1219.0,1217,611.0,9.0,597.0,52.0,35,736,331,31.0,13.0,19.0,4.0,627.0
1677.0,1142.0,1140,553.0,6.0,581.0,62.0,64,651,215,46.0,54.0,48.0,3.0,605.0
1113.0,762.0,741,158.0,6.0,577.0,15.0,19,487,106,11.0,49.0,54.0,78.0,325.0
1702.0,1205.0,1162,596.0,26.0,540.0,15.0,29,768,162,15.0,79.0,94.0,15.0,565.0
1196.0,816.0,795,406.0,32.0,357.0,20.0,17,527,113,14.0,51.0,53.0,4.0,435.0
2271.0,1678.0,1676,831.0,19.0,826.0,71.0,94,1060,106,81.0,209.0,55.0,3.0,704.0
2182.0,1524.0,1522,764.0,15.0,743.0,25.0,55,1041,118,84.0,172.0,27.0,3.0,763.0
2451.0,1803.0,1799,743.0,9.0,1047.0,64.0,56,1137,95,51.0,249.0,147.0,4.0,773.0
2274.0,1606.0,1602,786.0,10.0,806.0,12.0,82,1109,117,24.0,236.0,22.0,6.0,778.0
1695.0,1236.0,1239,598.0,15.0,623.0,29.0,20,834,88,14.0,204.0,35.0,5.0,536.0
2803.0,1962.0,1959,1014.0,9.0,936.0,26.0,27,1328,126,79.0,342.0,31.0,4.0,974.0
1870.0,1312.0,1306,636.0,22.0,648.0,16.0,28,918,295,12.0,21.0,16.0,6.0,682.0
1726.0,1237.0,1234,601.0,9.0,624.0,9.0,19,859,176,13.0,122.0,36.0,4.0,759.0
1875.0,1315.0,1313,662.0,8.0,643.0,26.0,40,930,77,16.0,207.0,17.0,5.0,687.0
1874.0,1327.0,1324,677.0,10.0,637.0,36.0,41,892,198,13.0,117.0,27.0,6.0,667.0
1976.0,1368.0,1366,704.0,11.0,651.0,26.0,52,952,89,27.0,199.0,24.0,7.0,605.0
1986.0,1375.0,1372,712.0,12.0,648.0,32.0,45,884,286,35.0,42.0,48.0,3.0,622.0
2069.0,1360.0,1358,697.0,8.0,653.0,38.0,38,914,85,16.0,235.0,32.0,5.0,805.0
2039.0,1384.0,1380,715.0,12.0,653.0,42.0,16,937,96,61.0,204.0,24.0,5.0,751.0
1985.0,1389.0,1386,678.0,8.0,700.0,36.0,58,922,119,25.0,195.0,31.0,3.0,688.0
2077.0,1385.0,1382,729.0,11.0,642.0,95.0,82,863,125,11.0,190.0,16.0,5.0,790.0
2388.0,1650.0,1648,821.0,13.0,814.0,46.0,64,1064,151,65.0,211.0,47.0,5.0,845.0
2295.0,1578.0,1575,780.0,9.0,786.0,35.0,35,815,539,23.0,87.0,41.0,6.0,816.0
1770.0,1219.0,1217,611.0,9.0,597.0,52.0,35,736,331,31.0,13.0,19.0,4.0,627.0
1677.0,1142.0,1140,553.0,6.0,581.0,62.0,64,651,215,46.0,54.0,48.0,3.0,605.0
